date demand demandChange inventoryPosition leadTime orderQuantity
2021-12-15 8052 7 1445 0 9945 
2021-12-16 8543 491 1445 72 10037 
2021-12-17 8549 6 1445 24 10110 
2021-12-18 8543 -6 1445 96 10221 
2021-12-19 8537 -6 1445 72 10312 
2021-12-20 8537 0 1445 120 10450 
2021-12-21 8536 -1 1445 48 10527 
2021-12-22 8580 44 1445 0 10600 
2021-12-23 8580 0 1445 24 10671 
2021-12-24 8587 7 1445 0 10741 
2021-12-25 8583 -4 1445 24 10811 
2021-12-26 8582 -1 1445 0 10881 
