order_number	stage_type	from	to	material_code	quantity	start_date	end_date	lead_time	price		
4500000022	PLANT	P	V1	CC-R01	1900	2019-07-16	2019-07-22	96	1.75		
4500000022	PLANT	P	V1	CC-R02	1900	2019-07-16	2019-07-22	96	3.93		
4500000022	PLANT	P	V1	CC-R03	1900	2019-07-16	2019-07-22	96	4.19		
4500000022	PLANT	P	V1	CC-R05	5700	2019-07-16	2019-07-22	96	0.94		
4500000023	PLANT	P	V2	CC-P03	57000	2019-07-16	2019-07-19	72	0.21		
4500000023	PLANT	P	V2	CC-P04	57000	2019-07-16	2019-07-19	72	0.09		
4500000044	PLANT	P	V1	CC-R01	6270	2019-07-30	2019-08-02	72	1.87		
4500000044	PLANT	P	V1	CC-R02	5890	2019-07-30	2019-08-02	72	4.01		
4500000044	PLANT	P	V1	CC-R03	2090	2019-07-30	2019-08-02	72	4.27		
4500000044	PLANT	P	V1	CC-R04	3800	2019-07-30	2019-08-02	72	1.34		
4500000044	PLANT	P	V1	CC-R05	20900	2019-07-30	2019-08-02	72	0.90		
4500000044	PLANT	P	V1	CC-R06	56050	2019-07-30	2019-08-02	72	0.75		
4500000045	PLANT	P	V2	CC-P01	38000	2019-07-30	2019-08-05	96	0.28		
4500000045	PLANT	P	V2	CC-P02	38000	2019-07-30	2019-08-05	96	0.12		
4500000045	PLANT	P	V2	CC-P03	114000	2019-07-30	2019-08-05	96	0.21		
4500000045	PLANT	P	V2	CC-P04	114000	2019-07-30	2019-08-05	96	0.09		
4500000060	PLANT	P	V1	CC-R04	11400	2019-08-13	2019-08-19	96	1.48		
4500000060	PLANT	P	V1	CC-R06	99750	2019-08-13	2019-08-19	96	0.71		
4500000060	PLANT	P	V1	CC-R05	39900	2019-08-13	2019-08-19	96	0.87		
4500000060	PLANT	P	V1	CC-R01	7220	2019-08-13	2019-08-19	96	1.95		
4500000060	PLANT	P	V1	CC-R02	6360	2019-08-13	2019-08-19	96	4.19		
4500000060	PLANT	P	V1	CC-R03	6360	2019-08-13	2019-08-19	96	4.43		
4500000061	PLANT	P	V2	CC-P01	114000	2019-08-13	2019-08-19	96	0.28		
4500000061	PLANT	P	V2	CC-P02	114000	2019-08-13	2019-08-19	96	0.12		
4500000061	PLANT	P	V2	CC-P03	114000	2019-08-13	2019-08-19	96	0.21		
4500000061	PLANT	P	V2	CC-P04	114000	2019-08-13	2019-08-19	96	0.09		
4500000083	PLANT	P	V1	CC-R05	34950	2019-08-27	2019-08-28	24	0.82		
4500000083	PLANT	P	V1	CC-R06	87830	2019-08-27	2019-08-28	24	0.67		
4500000083	PLANT	P	V1	CC-R04	11980	2019-08-27	2019-08-28	24	1.51		
4500000083	PLANT	P	V1	CC-R03	6410	2019-08-27	2019-08-28	24	4.68		
4500000083	PLANT	P	V1	CC-R02	6410	2019-08-27	2019-08-28	24	4.29		
4500000083	PLANT	P	V1	CC-R01	7310	2019-08-27	2019-08-28	24	1.79		
4500000085	PLANT	P	V2	CC-P02	97000	2019-08-27	2019-08-29	48	0.12		
4500000085	PLANT	P	V2	CC-P03	117000	2019-08-27	2019-08-29	48	0.21		
4500000085	PLANT	P	V2	CC-P04	117000	2019-08-27	2019-08-29	48	0.09		
4500000085	PLANT	P	V2	CC-P01	97000	2019-08-27	2019-08-29	48	0.28		
4500000108	PLANT	P	V1	CC-R01	7220	2019-09-10	2019-09-16	96	1.66		
4500000108	PLANT	P	V1	CC-R02	2570	2019-09-10	2019-09-16	96	4.20		
4500000108	PLANT	P	V1	CC-R03	2570	2019-09-10	2019-09-16	96	4.92		
4500000108	PLANT	P	V1	CC-R04	11400	2019-09-10	2019-09-16	96	1.43		
4500000108	PLANT	P	V1	CC-R05	32300	2019-09-10	2019-09-16	96	0.80		
4500000108	PLANT	P	V1	CC-R06	76950	2019-09-10	2019-09-16	96	0.63		
4500000109	PLANT	P	V2	CC-P01	76000	2019-09-10	2019-09-12	48	0.28		
4500000109	PLANT	P	V2	CC-P04	114000	2019-09-10	2019-09-12	48	0.09		
4500000109	PLANT	P	V2	CC-P03	114000	2019-09-10	2019-09-12	48	0.21		
4500000109	PLANT	P	V2	CC-P02	76000	2019-09-10	2019-09-12	48	0.12		
4500000134	PLANT	P	V1	CC-R01	11330	2019-10-08	2019-10-14	96	1.92		
4500000134	PLANT	P	V1	CC-R02	10330	2019-10-08	2019-10-14	96	4.52		
4500000134	PLANT	P	V1	CC-R03	9460	2019-10-08	2019-10-14	96	5.43		
4500000134	PLANT	P	V1	CC-R04	14810	2019-10-08	2019-10-14	96	1.05		
4500000134	PLANT	P	V1	CC-R05	55680	2019-10-08	2019-10-14	96	1.04		
4500000134	PLANT	P	V1	CC-R06	141920	2019-10-08	2019-10-14	96	0.60		
4500000135	PLANT	P	V2	CC-P04	214000	2019-10-08	2019-10-10	48	0.09		
4500000135	PLANT	P	V2	CC-P01	137000	2019-10-08	2019-10-10	48	0.28		
4500000135	PLANT	P	V2	CC-P02	137000	2019-10-08	2019-10-10	48	0.12		
4500000135	PLANT	P	V2	CC-P03	214000	2019-10-08	2019-10-10	48	0.21		
4500000156	PLANT	P	V1	CC-R06	81000	2019-10-22	2019-10-25	72	0.65		
4500000156	PLANT	P	V1	CC-R05	34000	2019-10-22	2019-10-25	72	1.12		
4500000156	PLANT	P	V1	CC-R04	12000	2019-10-22	2019-10-25	72	0.87		
4500000156	PLANT	P	V1	CC-R03	700	2019-10-22	2019-10-25	72	5.40		
4500000156	PLANT	P	V1	CC-R01	7600	2019-10-22	2019-10-25	72	2.13		
4500000156	PLANT	P	V1	CC-R02	4700	2019-10-22	2019-10-25	72	4.65		
4500000157	PLANT	P	V2	CC-P01	100000	2019-10-22	2019-10-29	120	0.33		
4500000157	PLANT	P	V2	CC-P02	100000	2019-10-22	2019-10-29	120	0.16		
4500000157	PLANT	P	V2	CC-P03	80000	2019-10-22	2019-10-29	120	0.25		
4500000157	PLANT	P	V2	CC-P04	80000	2019-10-22	2019-10-29	120	0.14		
4500000174	PLANT	P	V1	CC-R04	4000	2019-11-05	2019-11-06	24	0.85		
4500000174	PLANT	P	V1	CC-R05	18140	2019-11-05	2019-11-06	24	1.20		
4500000174	PLANT	P	V1	CC-R02	2350	2019-11-05	2019-11-06	24	4.76		
